acc_no,hash,length,gc,strandedness,moltype,is_refseq
GQ478085,19dce49de1b46345d8d251b82d90b1d079b24e3b47046904753921a2f0c0a61f,36826,34.57,double,DNA,False
NC_030945,b31e19f3b7b129d16d00413b4d34c4946cbe59e997d246f29ae084c032e7fc54,39873,42.76,double,DNA,True
MK524517,823421aeaf6b7d19fa3150ad80409a8e785428accb881bbac4edf9d48ea453dd,59617,61.39,double,DNA,False
MG839015,0e3ffbc7eec59593a07f7b27c787c9c71d7e4d2d0560529594c095b5c4bb9393,41555,63.43,double,DNA,False
MN204503,74d80fb8978071983b04d7c7a069e06e11bd45796d0a82848cb0d6060c0cc804,70526,61.66,double,DNA,False
NC_021308,51584f9b48dee7e492a52780f4f90232ab3f277d83e408a10400660e1efd4945,52617,62.84,double,DNA,True
MK433263,114da05ab6d871adcd17c36fd1103607d25b2ce85f40fd586b520573b64ba6b7,77553,58.91,double,DNA,False
MW978786,6fda0dfc0af4bf4337d6fdd899bd9fdc37eeb055bc1efaa5fe9539a4e333d8cc,59685,60.03,double,DNA,False
MZ209299,db28676c42aa38e371d1583ed46bdf49862d62bbff8f91e5cddaf213c5c6591b,59282,61.19,double,DNA,False
NC_029548,2447a4a4a7ebbdfc375842c6128f941289f7c03380332986c5c45fbe85818adb,17714,45.44,double,DNA,True
NC_049381,4f36bfe817cfc05098f0d04c03dfb0f69b5fde20fa728944e324e2302a084e38,27203,35.38,double,DNA,True
NC_049424,c3daada6509a0b413331fc6fbc1aea9eb570e2b179d041cdc203456c52252972,30247,35.12,double,DNA,True
NC_055030,3a14044a6a5c9557639b413d2c5fa88246087a9e885d3ecb530c7452b1d82bcf,55990,48.52,double,DNA,True
NC_048770,08b62ef1d859742b6e2c747a25bd327120243beda368d05c5b6f1716bf54f079,115893,35.56,double,DNA,True
NC_042056,fd02fb60fdd94a4da94f60592470a334391c1a00d3ca57819c9e8317257fda2c,241654,51.01,double,DNA,True
NC_042098,42eae70bb3794cf7ce6a18b757ecc6557e7108c4f71427515ebb81cf87686ad4,272458,49.88,double,DNA,True
NC_047948,b279340b59d19012302f5f94ae0c5c61f9e23540f9f550e4d473cc5ef2acdbae,149229,29.61,double,DNA,True
NC_048090,a975500cffdd894ba8a6f283a2c314e3f9c72eff1f0c485fde08319cbf2ddf85,39928,67.14,double,DNA,True
NC_018847,4999787c8e6ba8eedbe07a5b5fcdb5135ee4b26c805d652afc4876be3a0a3314,29516,54.00,double,DNA,True
NC_028881,911b03d167c3c6d85ecf9152f74071f4c50d9618797d1a8e9644ad6b93077254,170473,39.30,double,DNA,True
NC_054892,f5f5b1ff0b0103508e9bda5a0d688323902bcb84c1ab3f30df0a453596a3957a,48939,46.90,double,DNA,True
NC_047889,7e81823bb0f3f9b5ba3d62676a2d7ad4204e62f81e5eefa2adc14a60d6e4b0f8,44784,45.07,double,DNA,True
MH572324,1b2a4a21a5bd3c8bc9a879c4974fdf0039d708b061414b3dcd6d641b4ead8449,4320,43.22,double,DNA,False
MH572494,4f42a95fc788e6f5155ad586a80b73744fb1ea47d8a81a2eac99406bea7a7efe,4497,38.94,double,DNA,False
MN311491,d6accbfa481f9b0395a81929f3c38ef4efb4ee1b9ef6cac319fd4e736703d040,4201,42.56,double,DNA,False
MK448947,88ef423e333d83dd0d6a29579b337d72c632f7e2f64cc7c84c45442606dfaa89,40618,39.78,double,DNA,False
MN402506,97b908f032d4d96eaa19f37f730846206c7ed6d27ed7daca6ea6806e2a9ad7f0,121402,37.16,double,DNA,False
NC_028819,660fbc58a4656f66b3a9e0d2960f7b155919bcd1189b183c9632f2cf98e205c0,43190,41.17,double,DNA,True
MW460250,2462007a67a7ea0f151b0be79278ad348680af8d5332ba6c698533b95cfaaff4,140135,30.37,double,DNA,False
NC_004313,07d6c5fd00c064dab8fd10428c54bea5b70012aab80f326e5887b7b70fada23a,40149,51.01,double,DNA,True
NC_016654,1ba0619c21d28a27afbe6308e95329bee2784b7bd9a503896afb2e9968996efb,39474,65.95,double,DNA,True
NC_005886,36c592e59d1aeae8111ab4d1e04cb2c464ed97111baca9f923f2c1565b589f55,47399,54.45,double,DNA,True
KX349231,3a39892788ef25e755ad480cdd53aaabaa018184fd1ee8f16a584249a7cabf39,175439,42.16,double,DNA,False
KJ019047,a39c50505818934c2ee4600d3b96fcf693c218d038a0c48bbbf3c6b2c4ecd987,179095,40.27,double,DNA,False
MH937461,229e590c8d68075c2b0cadefebec6ea65c94debc863e8a317e8f88da11206f18,35715,38.78,double,DNA,False
MK448820,15c3fac2893a005d08725d8a0df4b97cf0abc913b97de2691e635fd2c64209b3,33966,35.06,double,DNA,False
MT104475,20857ca70c6d48546a4f97cbd4374259d4bae57d4bfdefd59386a37cce1ade3e,51347,58.05,double,DNA,False
MH834624,5dc66ba7da7d250c57f7f22e0f1ca3e5b36f04f65b970668b5bf6f8fd2f4c354,38077,66.70,double,DNA,False
MT585285,b91083bbf5bdf609772c4358cea2edeed020ca4e201c73b3cfac82ea3d86d855,49036,29.74,double,DNA,False
MH316567,9ac4ef16df14d422668afe3b4fad51c7e646aa59ce182d667ff8f554f0d2329d,155006,64.76,double,DNA,False
MW314847,00e3208586d02381b1e4b25863cb2efdc0430310926e9ae9fd0846a3a9ba5eda,61476,67.42,double,DNA,False
MT682387,5a67c2c321aea77ed23bc63e749c3ccdce421b801963f9accdf4ede307365c31,41676,59.23,double,DNA,False
LC596378,4796900abd47bb79f6925f549c65f57bef9146346d6d2e7bc0efa0d43efbeb6e,143280,35.95,double,DNA,False
MW354678,5dc358eb038bb79c0a57e5284a024c4ad3aeba879cb1de711f8245780f745653,55418,39.91,double,DNA,False
MZ171371,fbbe890723393057d4194921bef33403a0b1913762bd7c22249fe145bf596e67,45072,66.68,double,DNA,False
NC_042105,08f080e407827ee8f75f1d8853f63276944caf3585e90a41a6aaea4f5f5e7ac3,127084,52.83,double,DNA,True
NC_048145,ddb2c9905ccf4a066c29eee780e532d077b0bb86f7777db43e75c3ac26fa559e,110377,40.05,double,DNA,True
MK213795,18e31a32950440ce6d14cf248e2ddf4a0645fd3834935cc23d00d066cf1c554f,3526,52.18,single,RNA,False
KU886272,8d95e1b3de019cf7055032fd6350c0148d1c201272221571a265e2d932d11b6a,40306,48.66,double,DNA,False
MK733260,4754127362fe9ba8d95d7dea69b056ba9f30fa06af9f658c9b1b3507cd80cd9d,39751,48.04,double,DNA,False
MN729600,61bd8ca0a9c49c8ec523f75e96fcc47333e4d2fa6b154db1e8208cb86735918a,40882,57.30,double,DNA,False
MH513978,dc2a5b4e66db509dcd78bbf44e049d535d097443b157ef39516ec5e1adcc462c,75685,62.87,double,DNA,False
MN988535,4b37e2efdade281151356d39596959e4c69b69984f000bcc3b17a39d1b579a2d,193452,53.44,double,DNA,False
MT732446,5d5e7c53d91eaf6cf3ff1f957cd0687ec05cbbcbba5fb8419b367e957aef8145,6558,31.18,double,DNA,False
KF771236,9dcd7b1a35314f68cd3482cc30068a48b3a0ef57c62462a47200f38048691f12,46719,43.83,double,DNA,False
KY963369,d10b66dedea7ae3e69193c2d1be86fcdc97284985e273d5802bbc366739041b5,40397,35.17,double,DNA,False
MH884648,717104a7de4ac4bcd4ee80c715adb159cfcc13c540271cdb33b39b78f617ed04,42424,66.29,double,DNA,False
MK448700,57b0f243576f4995811fb57b25721ccd15270c11f3af4023071f63ca16c2d91b,44570,38.24,double,DNA,False
NC_051588,b33dd382f3a54eea2ac6d8a2b315916d57c4c6ef0f8d00023735e1123d807e14,60430,67.83,double,DNA,True
MK380014,0cc4749d07d57a8614caea628bc59169204f450ab2677e129683b3b451210075,44122,50.40,double,DNA,False
LC487410,5684ebf1feb0a0bbaafc8c6cd5a44474f99fda131d0aa5ae4cc57fc15e0aec44,114933,40.24,double,DNA,False
LC576631,aa15bfb9c6c1cabce4c0ac3661155e3208bebc71009af6336fc8437a53b48f0d,136569,33.78,double,DNA,False
MN715150,642ece6c5119ec2c9cf1dfa64b74964313f8e502c5a3fd92b0302d201ce6c254,38900,50.18,double,DNA,False
MN813677,f5a27bda0847ec1979f86a59894e4b266290b15a9e12c497e76c788ddcbb96e9,29516,53.99,double,DNA,False
MK494109,52a3cbd8e26a20285269ea72262d19ada3ffd030bd9bacfe7d5ed8515f865db5,73885,59.12,double,DNA,False
MW273924,15b3c673efcb8a4f413b1a1ebbe6a300c8562880670242d5e6e7e6f6d27d0458,34606,31.85,double,DNA,False
NC_055769,9fc899cd1cd79c1e7208e1529de624d0c90c2d8eb9272d280035dcf8364475b9,66808,65.38,double,DNA,True
NC_015569,55d43c31328c3bf314ad56eb3a91008b620641bebee250acbb23cea863f361cc,178563,39.75,double,DNA,True
MZ322022,ea13f6c5f4fa32bb56ed4894bf3e11c3b79a2415466250cb59cd9f30fa9466c4,67545,65.58,double,DNA,False
NC_047837,bc102ed765805c7536fe83a098c5f797916232158a32319dec8b71e9c35e0377,9174,34.18,double,DNA,True
NC_041930,2a45de7e2bb3f1df28ba761f677a2c1f4ef4139025bccae3148fd2aa9d788caf,49879,63.43,double,DNA,True
NC_054974,b19f0903415de34fe05b302199f726226b40406c910155b9ec60200688e8411c,42650,34.57,double,DNA,True
NC_025418,e90cd8b9fcb446d182e7c6b3728d91283c7081309e8bdd38c00a8c0edc30ccc5,43871,54.18,double,DNA,True
NC_060136,74d1079fe19b86eec13548f63456ca3848da2ff0d644e8f9467c4f5e1e625276,76731,58.62,double,DNA,True
KY554774,90ea77047b7d0a1fb20371004b12b4456d01b05b1d9dbcf3e1c08119869f766c,125294,32.54,double,DNA,False
MH572489,0501c85c1aa2fb55c665fc85c50658450cc30f9b9ff6cd59bd3dc90bf55403e1,5339,53.14,double,DNA,False
MK972696,094b70738508f9737813cc664c0e8d4d1b9f1ecd5573bf5974a7d97fe30b3340,40012,46.83,double,DNA,False
MK967389,ae0bb1859c497d490f87ebe0de820d4a98391556d5a96429bbba690f56c62c04,49894,67.19,double,DNA,False
MN428049,27a56911d3b9eb1b2227494e9324e7348311a863be81a6ece1c53abced85a10c,67516,68.92,double,DNA,False
MW584150,c7cfd03d1065197341750cc65f9ced0c63b8b3b6f3a287ec7439d66683560cc1,50828,63.91,double,DNA,False
NC_007814,51aa73af756f0a2652e3a66de86e5dd327dacd07cd462c40966785d381d1e135,37974,34.94,double,DNA,True
JQ740801,01d316f627803720fd5d59cf107e6454d8946ca6d7fc343d42b70451bdfac07f,32180,34.48,double,DNA,False
NC_027388,898d5cf388703753ce22cc35c6d043e78c49714e2a334b0b31bf2a3d7bf03e50,73050,54.88,double,DNA,True
NC_027359,d09a3a84c5ac09400695c18df27cbc7a2a75fced9f7e5fc6401070d50cdfc315,29491,54.38,double,DNA,True
KY065147,4e31b2fdb037e952f7ad5a6f093a46b4342116544780a9968f4e5fb9deb24180,124261,37.08,double,DNA,False
MH937485,51a5d14d822d788bebad7824f6ebe9e2a9c3ba61ef1d69c37d381afbb307bd9b,35260,38.98,double,DNA,False
MK075006,ad747e7394bf4674a81c4ace36474391e37c702c7bb6ae0a3f0e94b17d856f66,44311,35.63,double,DNA,False
NC_054796,98767ff714628c915f3eb10ac52b69031ec89234bed73f0c92205ad0bef48b13,47079,63.83,double,DNA,True
JQ809701,b7708ab37939c94074802745085f74a6eaa6f229e970360fead230e3c5e7cd79,51370,63.91,double,DNA,False
MK450433,f1568b8d16d565b933a4df62f465e431236f47e11b6bb13acc1a7d3713376c75,41609,62.08,double,DNA,False
MN586050,dacb70e8f7840eb143999b25232cb1f8c2c4071e0f80d35ed27295f84f927960,74969,62.98,double,DNA,False
MT361972,0cee3ba765499dbd8d79e37b88fd18cc43785c182ef6cafe1ea1a29b3baa84d1,50916,38.86,double,DNA,False
MT708545,9a2baa07864f29d84e930f6af686b4d0ebf8b337cd107c193f1d6dc10b19622b,42407,58.64,double,DNA,False
LC567818,09235f1442d4f2cf0af664912bd59a28a70cde8e79dd49478dc764559471f892,89855,51.69,double,DNA,False
MZ089776,c6e121ac5a1f47b118a8e30d274b157617159f661ea240ad1f0986669d2982fb,5204,37.39,double,DNA,False
MZ089801,1eb22b37400b8c7f729ca482ec8500ed992ea95e1f82559eb36512f6ab6eae67,6340,43.28,double,DNA,False
NC_013585,8bf27a888dff8f6a2f67992df2516f6070b29ac5915f41b32e61cda352617e02,24186,37.70,double,DNA,True
NC_055041,052a61eae740d5c0e560c48200f0977c43a82f04419516df5e68e1534f1ac5dd,46048,33.19,double,DNA,True
NC_042139,371a1c47da151e68bae68b030666aa5a1993b4e1553c28501bbde3cc25872c04,40353,60.01,double,DNA,True
NC_049933,d05724e0943369b2347d166d27863faa27883548b039b0ddfd3a942adf0f0938,18136,32.64,double,DNA,True
NC_028829,cdb7dd4b10003fd4a57809442cbc0b8ad51de0de02ec16f319c350a59714025a,248088,41.23,double,DNA,True
MZ997839,6bee8f038c6e191293e70cf17b7f2e9d1ae095933b19892b776ecc24c7a9c394,45159,44.61,double,DNA,False
MZ364222,c6ab90152a3087aeea454e8d0f1a272b9926eb63222e8ffb7475be0cee1cf4b1,4731,50.33,double,DNA,False
MH572327,860b3d0529ad8f3752433e0ed7dcae9db9700a73bd5133e9b8ed52837e27eca4,4194,50.50,double,DNA,False
LT898437,04659bca5424aa62b2f311f1371a22ad7e9e1b6383dbb18a50b33fb6f34db44f,3534,52.09,single,RNA,False
MN988539,7a287a2a88f1f3a0cc035ac82091384b923e15c8443c38f84106562c4a4b099f,41785,60.10,double,DNA,False
MN850595,13df567e48560ba627752df8dcc759577d822edb72d98acf4e5fc9c749223d58,138583,43.58,double,DNA,False
MW883060,74d03ed88dd1e000013e29aa3fc24742fdd0dc07bb73ff6bca8b639c15708086,39713,48.44,double,DNA,False
KY705262,679d96dfc47aec8d5777f2e8030c8d1354f84aeadba60a95cd02177863d44bd4,35843,39.04,double,DNA,False
MF775684,a614e8909c80738dcfeb500e63f53a2d9a99c94dd2f1de8baa636432e9e319e5,30204,34.86,double,DNA,False
MK524491,fffeafd2f7616eed26e7ba5b33b131e3e0c388f001365d15f479190e39503e62,53167,63.34,double,DNA,False
MH338240,8d976a04fc276e5ca64ba2dba416d769210784c52da76975035c3b1b24bc5447,50855,64.02,double,DNA,False
MK761196,347f5b0972dff11e9a99393ce9c8742f9e1ca79a1e737ea15c51d086dde7d885,42199,49.67,double,DNA,False
MN585994,dd4e5b61ee0717fbf7a48782fee92361c56481cd6dcb83e7d45aaddd80608082,52431,61.99,double,DNA,False
MN937349,9132d90f06b4c0969977266d75ff62d5b8389356c9b499342f9817929b89d51e,62354,56.27,double,DNA,False
NC_051696,2a8464165bd8e13d1ba954dbfb43eb48586c6e0965cb6156536ec4f309b4acf4,56125,61.05,double,DNA,True
MT889371,91c74835be2b9b37dbda1814e926d0546991f37d2b03e9520c2db329bcf349a6,39631,70.00,double,DNA,False
NC_055872,abbd54b6aeb0a901c6092762e60ea8e1c3ee94e1aca1541f6af3c9efd7bb8aa5,92600,28.71,double,DNA,True
MG757155,615dafcb1297162955b0d8d6583acc7db421bd3a9f2ee5ff45ad020d6268254c,77497,58.86,double,DNA,False
MT497235,6cb6c2278410d1f9d665e38cd115af9193b9e4ff357891e29f44e7be3a1d8996,80348,38.23,double,DNA,False
NC_015463,2f1e86c50250c8e3a05e075d6a8da5ff83e6bf9dec7a736acdeefa511076b347,72332,54.47,double,DNA,True
MW145136,75c2a1e6b16c432e39a3ee98a2084ecb4180e504fedb1a2f5c94f1feb9d9036f,41033,58.53,double,DNA,False
MW021763,e0475de8e4a84a47ce935eafe79da8e670d00246bfc373873358fb6f9307ff7a,42495,45.70,double,DNA,False
MZ043613,706ad1bf2915ca04d974bac2ad5e2168e8d93c86f3b8be0d315675363412773e,93703,32.64,double,DNA,False
MW794152,aa779c8ff430cf3e876f517a0a825123b50aee025feba8a6dc69f3dbe5ed8193,124926,37.18,double,DNA,False
NC_042088,bd4f6fb4fb9faf11e3065122965151c4a74dda6f2e39bb8c3885b9734b862686,44408,67.85,double,DNA,True
NC_024209,f34fbd988636f7b6cbc2a7445a466301f4450857aaaef4eb64d046060e8edc96,67383,57.05,double,DNA,True
NC_042034,0872f04f11f394978e4a68a3ca6d4929faa071b732fddda9ade68e49b2249ee6,70428,69.07,double,DNA,True
NC_048869,79e4ad4a74dc4360b9e7d3b144c51816f276e280878474967572977483544aaa,112117,40.02,double,DNA,True
MZ958749,f9593948e5e0f30b18a459dad3254f98dc167faa77632f3335fea694a3a10fa2,41847,63.48,double,DNA,False
MZ348423,92b03809fb83202d8e13cb184df453df1a5a31a97ba096c6396559f31345f6b8,174783,40.02,double,DNA,False
MH992194,069926b5487640bff831324bdf23fa32c27ae3be2e8436ceeee264b212342272,4566,50.96,double,DNA,False
MT178767,642314609adf1b206cf0c57bcbada62c5be9024abbc17266637ccca8f8dcf4a6,135029,35.91,double,DNA,False
MW507132,1611de57527735151c5bb79581fbd058f6082d6ba8f682a1ac753a911501931e,76612,58.94,double,DNA,False
KY888882,213c20387cca868e5d8f49054b681b318147479db7df0ca0e728e01fded3f17c,166137,37.60,double,DNA,False
KX379673,59f7cae7a4ffd5607477907fd86256048780d58f721512c197c42d066ad89561,33013,34.81,double,DNA,False
MH937492,335422ec80f1d12636d5974222047b2717d978d6da50e48da8b7aa40edc00065,35851,38.91,double,DNA,False
MK295205,216a9f6bc91e3229830d15171fb0f0c1dc8350978761fe876554db8239e0f912,85887,38.62,double,DNA,False
MK448698,0a7302d06fc085edc15ac455d76a3242ca30002625b7977f1400e2faebf6a8a4,28059,35.25,double,DNA,False
NC_021538,6fa90c6db8790d9e75125cfeffce933c552855a26351a5fb4707665b6bdc8e08,59626,61.16,double,DNA,True
MK416013,d4f21258715d24b0bae121f071652fe81a88c679d8e1b5dce98a4e5bf9ea88c2,57025,53.55,double,DNA,False
MN393078,2b11af4e8dbf5246f9416493cb2612a3c835d76db31e670005542bbf09376fa0,41757,50.06,double,DNA,False
NC_028256,e2b8877a0acab1ab94c1752034e6fbe338f0b7c931087f00b87fc2be38e36f61,13769,55.50,double,DNA,True
NC_041870,85ab10257be4c618cdf7b04fc72c4753a2a95b713087b47cb7b6258f5f747333,66158,55.55,double,DNA,True
NC_054942,77424ab8beb38bc3638f987a1ccc653f8e2afc154a0e993e25c9eadd98c3b80c,164870,35.45,double,DNA,True
MK249203,78c0a6e2303d776e434b23e5822cba20cf08616b0c0011f9e18f4d65c86e4015,4529,54.67,double,DNA,False
NC_048160,227bcb3ad7cd40e8f855922669df2c559664c44fec9c87bab70df56d52d8d647,16159,60.33,double,DNA,True
OK041469,8c1d877a31f0a3451e19ed47364db5183bf1651741f36f5678f54dbc7e41c547,61950,60.32,double,DNA,False
LN610581,d47ba3aba62ced8db71fc3a154ee1e1a48bbca6591b27c26553255cfa9ac3ee8,86668,54.56,double,DNA,False
MK448905,87d02b507880a6c68e9d1e85831e04c50649bc31652cd7e07af07e262f449cc0,39412,38.18,double,DNA,False
MK496714,2b4c671001fd7eef82f908d7f04b7e534977dd43db44038ec0773ebf1c3b1c55,5314,44.24,double,DNA,False
MK967395,2c2c88c5bf624bf49a9bd656f5bf593124270ee106b306c97ffa782be6b676c7,53040,63.50,double,DNA,False
MT119372,349b188992a8307c19c09f7c25d86223f3602b9405e15e7976eecc30e39c9771,66395,55.20,double,DNA,False
MT438396,c233064056d18fca036d2b47b335ac5f49abe13204dd8f25a8a627ca2d957dda,143369,44.67,double,DNA,False
MT732433,183b70e62ec27765dfc286b24e905751c0875ddb03e014f8a1dbdb643cdb5b2f,72979,38.11,double,DNA,False
HQ641350,6a4fc6b56d5c954d779d176abfd8baff32b7d06dabced6f8ba7d682e3d54d1fb,123097,37.07,double,DNA,False
NC_019489,587d91900467a9c74f3abe278fd387bb9d11747d54d40f11d5bd0c7717296136,41726,40.61,double,DNA,True
NC_021556,5c747856fa5753c677c58d5c356e33ccd871ddfb4395924674142f0ecb54f8b6,39981,66.86,double,DNA,True
KX349227,297ef88d3320b0b2d5680709a1d74a27fad20534e8146f53fee633b1851bb287,175432,42.16,double,DNA,False
KT264801,1330ea2fc7b5281f387cc87c44be9190646f90f2097fa6f5a8ee25aa560aabb6,5564,50.49,double,DNA,False
CP013282,3d1bcf36f04a116d0228dd7acef2b99118459c256db70ee467fa459711ac289e,14961,39.70,double,DNA,False
NC_054788,cfacc392700b07bd67177e648f1c004c7461ceb4057d49d21018447e3c011305,50013,62.67,double,DNA,True
MK054212,484ff683a8d077ecc4f686733ce3c00d76ff04847f9f85d8ee08606cc0322c37,11433,39.88,double,DNA,False
MH892360,6632b11e9743c69169c909ae2731c6c70de31fed78cdb5a4f516c9260c5910bc,36250,38.23,double,DNA,False
MK599315,12122298997c3c4578873b601f7e80ae8bf302cf5a84cf088454ada758a11fca,304671,43.63,double,DNA,False
AP018813,b4d8aa3e5dab53ff7e6cd20e69a45712d96fe4674ecc5ff3e63747e1816ca83e,163826,35.32,double,DNA,False
NC_055859,e16dae751083ede08fd6c2b973746a86b84e9bb7486aba2317d7d3e28340469e,60127,67.35,double,DNA,True
KX683876,4fdee075aec9b1c1b5ecefb1e0091d79e66cb301e2327444f8a76ab329eb729a,52659,63.81,double,DNA,False
NC_047935,5fdb5ade8cd91cbbdabf44dd56e11fa27a9d25a78776d5012aa6a108cb4ec896,38391,45.71,double,DNA,True
NC_054983,a240f1027359f968372271922ed930157ee2390d5cc17758d333400fe63e3079,40955,35.39,double,DNA,True
NC_004348,ed13ba6d7c98bbc3aa0d2ea6fd76b0a85cc1851924b4705dba5ce1e6510e39bb,40679,47.52,double,DNA,True
NC_011703,7810913289c2041334117e34e366cef1a4d7aac8233b1180c23869bc04c6d4d4,66235,55.59,double,DNA,True
NC_021331,595d9bdbea5c7d6e5f49e60f41e7d70dd6f453238842afebb7a4e20dd7e934e8,51821,44.02,double,DNA,True
NC_049500,2dfd28e5571fa692cda5878ce235df5bed0af909fc82f6c138522f8fc3ea4bf6,144232,44.47,double,DNA,True
MZ593728,fefa70d77a2a80a6201e9647027e7517b4944d8e9fc9f34a1f8170f65f4ea9bb,44935,37.52,double,DNA,False
NC_007217,c356ae632c9e4691e26d1a3481ae2757bcdc156ee0822c9050c9708a0d902738,30889,68.38,double,DNA,True
DQ079889,b0120cf7c8c567410a29507ed563c0a67c6f53b6f1e4f52ef58a3819614b185e,5386,44.50,double,DNA,False
KX171210,26a61d8d02c8f8249c7e4598e9d99a7ef5d212abb4d2690f29c570ad493012e0,72508,54.72,double,DNA,False
MK249138,86c73d0ada9013620e6d755bc5c21a6404a81dfe46455b1762b8674afdd8a1b1,4231,43.96,double,DNA,False
MH586730,75700622ac92e35e886b1199ffb4d453cdb654820e80b35d496a0bcb68620e4f,55978,43.47,double,DNA,False
MT151386,20ac3cbcda964823d060f32e4b1d5e45eae3df2147bf0b3d9466a344b9a3bd28,139739,30.13,double,DNA,False
MW353176,7b74dc56d9c5fea06e8479ef8a0632c11fd50cf4daf7aa27c0a22a6ce8c4f803,160366,34.50,double,DNA,False
FJ483840,c02bf583114f3ad9f6f2b3e5fa0a5dd2e75ec0d7ae4264910e8b56bd2818578e,4218,47.87,single,RNA,False
MH595538,5f5abe2cbff3229cdddc57d554c77a99c92eecdfd16eb75a3cabc39af8ebad25,288967,42.23,double,DNA,False
MH077584,cdf967e990c086b9a83af586612ac6d2b80af2f4473aa7330de93a1d244c66df,41901,66.56,double,DNA,False
MN013090,5fc5a70647dfd0efea71b513f1eab38c51d8535643df76aab60dfd204197f4c6,68439,49.13,double,DNA,False
MK962755,697a40bb61078aa8bb595b49eb2aee821e05dc9654cb1825d25bfdbfa8890a40,167852,35.48,double,DNA,False
MK972702,b8c821fc655fbbeb110655d85920df89ba00752201abfcdb411f2f250d04357b,41392,49.71,double,DNA,False
MN615702,f4cd9e50d8e90da50d3e86d5a4cfee3e41b7cecd533a7e25392f6fe8225f9b70,66348,55.67,double,DNA,False
NC_055864,3e94411f85fb4da2d807fd4035964cf8155a67d7bc5c7455a662bbae4f1186a7,60042,67.27,double,DNA,True
MW042788,857d287faaffbcba926faea275bc70983eb49f5eeb180b575da2dad670bf15ff,40967,52.98,double,DNA,False
MZ089784,e0e60ddeccb304f2834b004a5036e0c1a32f8939591e5435856373a987ae2ab6,5634,34.17,double,DNA,False
NC_031005,6e244ff67c1a78d76de86712fe4b0e8cf19724627ef9cdb1f59edc2b45d3ecf1,29338,54.14,double,DNA,True
NC_055042,da9b67b8bf9d3bb522c09693b401383237051310c366f2d38c5c36c57d241828,45985,33.11,double,DNA,True
NC_041877,b7bbdaa46c081b4b77ab176d9b3a88b00a6e8b6c996c5946dce233b4f758f32f,93191,55.24,double,DNA,True
NC_041872,c69c5a295a5f1d88637298eb4c7b92e76dcbfed74e2725673664b24dfc89a4bc,88308,27.22,double,DNA,True
NC_019450,0323dcba4bd04650cbc7b26fdff85840aac599c95aa9799be2f5ffbf57c4fae5,93017,49.26,double,DNA,True
NC_029029,1fab6efdcb73b13285452e22710b2aa7927965cdbf0148c1275f50a938417d94,45552,39.16,double,DNA,True
NC_028957,fbd239b7eb0de5943ac3e982004bfb060753949f9876d33beb8067ed009bb785,171541,40.22,double,DNA,True
NC_027330,b2642535c8997f519a3ef5c5e9725b06c50eccb03c6ffdf517cb8c67a5cfafbb,45403,45.89,double,DNA,True
MH992221,572778e2131551d4348799df7e5f89adca3b1b3d036b873fc7c2fd8b77b32eed,4231,46.56,double,DNA,False
NC_031115,5115d820e83bf1df49fc98b665be7f599679e95fb5ad3cad7766c8ef2a8d1487,39616,46.91,double,DNA,True
MN062187,5f851ba004db1e6c7ff97afe5f0d07332e30301a1d5494f51f4a8688c32e9455,43314,54.57,double,DNA,False
MT498053,e07a974fcc7cef8cf6126cdeeb0099d900d67ec675c5dafcc9e71cbf4f93e4f0,69271,64.26,double,DNA,False
NC_028885,ed4f42a8de42afbdcaddc1e9964777b8664d6f7727c91b21c2144eab8d3d1d2c,72378,54.95,double,DNA,True
KU234533,9f107a712f73098a9c838bca4d6f0dc394939823c5be1503daba9abf2f0043ea,68304,36.50,double,DNA,False
NC_026924,aadfbc889c2eeeadeea81fb9b03c9de86de9a3b32ef155120c8e2a71200579ec,174885,39.26,double,DNA,True
MF988720,a8d03df67f38788354ebf95a77f888ff23e78d0167357bf0e4dd06a29e07ac9e,142204,37.92,double,DNA,False
MF580772,84b329d74056084d8701f0f78ab57125921207cf4559a228f65d80fc03d6e6c8,34652,38.74,double,DNA,False
KY744566,2f73c3f1ce359cbdd613ff835bf90a8d99e139030fd8935dfe387485343963c7,44760,49.71,double,DNA,False
MK448617,d245c06c6edd04b8990e0b9caecfb24fd79b0b4ec5e181cc12d2058c74224c06,14111,35.73,double,DNA,False
MK721192,c18a8f520cce1cc62faf62ef08f59f090e12e5f609929a73034a28db99bb35f8,147289,35.86,double,DNA,False
KC109329,46cf088b1a0a7c6eaa7fff13e46e13f65f17c74ad441ce630c6c764f29e8570c,40218,50.05,double,DNA,False
KX507344,b63fde8d755dd2089db6f1fa3d6ecfe25985257e087116c5c3f7eca3c8c079ed,50701,65.71,double,DNA,False
MH669008,153746515bada12f1fba483139bd2a18cf8bd185c5e30b1dc63a14ab62bfce3c,154780,64.76,double,DNA,False
MK376956,1efa97ffb51295c7f58dff4a6fa626995d0098512d2caecf91bb94aef41114f3,92688,61.94,double,DNA,False
MK359336,2d41ebe6d99aa258d9a6079b42a0c0abb3329e9bcb4a76d1a177bfb8eed4f81a,154283,64.72,double,DNA,False
MW161461,034a314e111309ea0c8b36ebae34608543ee531f9a7448ca9dd9d878d07ab0d6,29774,54.27,double,DNA,False
NC_053505,5677246894a7329a021c67a281a3228baccf92cce6f4e56d7ca5b75449d381b7,76075,59.27,double,DNA,True
NC_009986,a2f6255209600577347101b795fb94b18595f7017fd836692a9119165ca494ef,15135,38.47,double,DNA,True
